HANDLER_ID,REPORT_CYCLE,BR_GENERATOR,BR_TSDF,BR_GENERATE_TONS,BR_MANAGE_TONS,BR_SHIP_TONS,BR_RECEIVE_TONS,HD_GENERATOR,HD_GENERATOR_CONF,HD_TSDF,HD_TSDF_CONF
AL6210020776,2017,L,N,21.566,0,21.5345,0,L,FALSE,N,FALSE
AL6210020776,2019,L,N,14.9915,0,14.9915,0,L,FALSE,N,FALSE
AL6210020776,2021,L,N,36.0585,0,36.0585,0,L,FALSE,N,FALSE
AL6210020776,2023,L,N,34.833,0,34.833,0,L,FALSE,N,FALSE
AL7210020742,2015,L,Y,6005.8396091,37.640725,5932.3135139,0,L,FALSE,Y,FALSE
AL7210020742,2017,L,Y,228.4521274,20.8925,208.4191491,0,L,FALSE,Y,FALSE
AL7210020742,2019,L,Y,68.1043425,5.7252195,62.379123,0,L,FALSE,Y,FALSE
AL7210020742,2021,L,Y,92.4355452,5.7375456,86.698,0,L,FALSE,Y,FALSE
AL7210020742,2023,L,Y,228.6640871,14.2585875,206.678,0,L,FALSE,Y,FALSE
ALD000608216,2015,L,N,124.9320002,0,124.9820002,0,L,FALSE,N,FALSE
ALD000608216,2017,L,N,249.656,0,249.656,0,L,FALSE,N,FALSE
ALD000608216,2019,L,N,264.7575,0,264.7575,0,L,FALSE,N,FALSE
ALD000608216,2021,L,N,144.3785,0,144.3785,0,L,FALSE,N,FALSE
ALD000608216,2023,L,N,203.1985,0,203.1985,0,L,FALSE,N,FALSE
ALD000622464,2015,L,Y,37487.222462,99126.6869782,339.1675498,62359.8616562,L,FALSE,Y,FALSE
ALD000622464,2017,L,Y,215.2250176,103304.9176034,818.2072303,104149.7985294,L,FALSE,Y,FALSE
ALD000622464,2019,L,Y,168.0691949,89193.1517222,1048.9497307,91114.9747282,L,FALSE,Y,FALSE
ALD000622464,2021,L,Y,85.3647725,93460.6091248,716.542483,93836.3207769,L,FALSE,Y,FALSE
ALD000622464,2023,L,Y,541.8517563,26917.7578353,549.3347938,55319.8813819,L,FALSE,Y,FALSE
ALD000622852,2015,L,N,3435.8,0,3435.8,0,L,FALSE,N,FALSE
ALD000622852,2017,L,N,3654.7100007,0,3654.7100007,0,L,FALSE,N,FALSE
ALD000622852,2019,L,N,1705.1374035,0,1705.1374035,0,L,FALSE,N,FALSE
ALD000622852,2021,L,N,4031.54,0,4031.54,0,L,FALSE,N,FALSE
ALD000622852,2023,L,N,8981.5270325,0,8981.5270325,0,L,FALSE,N,FALSE
ALD001221902,2015,L,N,9442.3925,0,9442.3925,0,L,FALSE,Y,FALSE
ALD001221902,2017,L,N,8987.988,0,8988.153,0,L,FALSE,N,FALSE
ALD001221902,2019,L,N,9097.387,0,9097.387,0,L,FALSE,Y,FALSE
ALD001221902,2021,L,N,10052.1895,0,10052.1895,0,L,FALSE,N,FALSE
ALD001221902,2023,L,N,7453.7295,0,7453.7295,0,L,FALSE,N,FALSE
ALD002904506,2015,L,N,808.2375,0,808.2375,0,L,FALSE,N,FALSE
